"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"28/05/2019";"15:29:27";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AC";"01015";"CAPIXABA";"01015";"CAPIXABA";"8";"13";"Vereador";"10000002611";"13100";"SILVANO ALVES BANDEIRA";"SILVANO BANDEIRA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"13";"PT";"Partido dos Trabalhadores";"10000000244";"FRENTE POPULAR DE CAPIXABA";"PT / PC do B / PDT / PRP";"5";"SUPLENTE";"N";"110"
"28/05/2019";"15:29:27";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AC";"01015";"CAPIXABA";"01015";"CAPIXABA";"8";"13";"Vereador";"10000003080";"31111";"YANEIS MONTES PEREIRA";"YANEIS MONTES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"31";"PHS";"Partido Humanista da Solidariedade";"10000000289";"SIM, NÓS PODEMOS!";"PHS / PSB";"5";"SUPLENTE";"N";"37"
"28/05/2019";"15:29:27";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AC";"01104";"JORDÃO";"01104";"JORDÃO";"5";"13";"Vereador";"10000001943";"65111";"MEIRE MARIA SERGIO DE MENEZES SILVA";"MEIRE SERGIO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"10000000183";"NOSSA FRENTE";"PT / PC do B";"2";"ELEITO POR QP";"N";"253"
"28/05/2019";"15:29:27";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AC";"01104";"JORDÃO";"01104";"JORDÃO";"5";"13";"Vereador";"10000003063";"45888";"LEANDRO FERREIRA DA SILVA";"LEANDRO FERREIRA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"10000000287";"PELO JORDAO QUE QUEREMOS";"PSDB / PP";"5";"SUPLENTE";"N";"20"
"28/05/2019";"15:29:27";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AC";"01104";"JORDÃO";"01104";"JORDÃO";"5";"13";"Vereador";"10000003189";"15666";"SEBASTIÃO DA SILVA SOUZA";"SEBASTIAO PACHOLA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"10000000301";"UNIÃO DOS POVOS BRANCOS E INDIGENAS";"PMDB / PR";"5";"SUPLENTE";"N";"36"
"28/05/2019";"15:29:27";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AC";"01023";"PORTO ACRE";"01023";"PORTO ACRE";"10";"13";"Vereador";"10000001579";"11234";"ELIENE ALMEIDA DE AMORIM";"ELIENE AMORIM";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"10000000157";"AMIGOS JUNTOS PARA VENCER I";"PP / PPS / DEM / PHS / PSD / PTB";"3";"ELEITO POR MÉDIA";"N";"226"
"28/05/2019";"15:29:27";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AC";"01023";"PORTO ACRE";"01023";"PORTO ACRE";"10";"13";"Vereador";"10000001417";"45600";"ROZAURO DA SILVA ARAÚJO";"PROF ROZAURO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"10000000136";"AMIGOS JUNTOS PARA VENCER II";"PRB / PSC / PSDC / PMN / PTC / PSDB / PEN / SD";"5";"SUPLENTE";"N";"12"
"28/05/2019";"15:29:27";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AC";"01023";"PORTO ACRE";"01023";"PORTO ACRE";"10";"13";"Vereador";"10000002196";"65678";"ABIGAIL DE MORAIS PORFÍRIO DA SILVA";"ABIGAIL PORFÍRIO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"10000000210";"UNIÃO E RECONSTRUÇÃO - II";"PV / PC do B / PSB";"5";"SUPLENTE";"N";"123"
"28/05/2019";"15:29:27";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AC";"01023";"PORTO ACRE";"01023";"PORTO ACRE";"10";"13";"Vereador";"10000003469";"31111";"MARCELA BITENCOURT DA SILVA SOARES";"CAROL BITENCOURT";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"31";"PHS";"Partido Humanista da Solidariedade";"10000000157";"AMIGOS JUNTOS PARA VENCER I";"PP / PPS / DEM / PHS / PSD / PTB";"5";"SUPLENTE";"N";"0"
"28/05/2019";"15:29:27";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AC";"01023";"PORTO ACRE";"01023";"PORTO ACRE";"10";"13";"Vereador";"10000001585";"11777";"GUIVALDO PEREIRA DOS REIS";"GUIVALDO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"10000000157";"AMIGOS JUNTOS PARA VENCER I";"PP / PPS / DEM / PHS / PSD / PTB";"5";"SUPLENTE";"N";"107"
