"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"28/05/2019";"15:29:46";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AL";"27014";"ÁGUA BRANCA";"27014";"ÁGUA BRANCA";"39";"13";"Vereador";"20000005955";"40123";"MARIA DAS GRAÇAS TEIXEIRA LIMA";"GRAÇA DA FARMÁCIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"20000000463";"UNIDOS SOMOS MAIS FORTES";"PSD / PSB / PSC / PR / PDT / PV / PSDB";"2";"ELEITO POR QP";"N";"409"
"28/05/2019";"15:29:46";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AL";"27014";"ÁGUA BRANCA";"27014";"ÁGUA BRANCA";"39";"13";"Vereador";"20000005960";"43333";"WILMA FRANCISCA DE SÁ";"WILMA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"43";"PV";"Partido Verde";"20000000463";"UNIDOS SOMOS MAIS FORTES";"PSD / PSB / PSC / PR / PDT / PV / PSDB";"5";"SUPLENTE";"N";"253"
"28/05/2019";"15:29:46";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AL";"27014";"ÁGUA BRANCA";"27014";"ÁGUA BRANCA";"39";"13";"Vereador";"20000005958";"22333";"PAULO JOSÉ FERREIRA";"PAULO FELICIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"22";"PR";"Partido da República";"20000000463";"UNIDOS SOMOS MAIS FORTES";"PSD / PSB / PSC / PR / PDT / PV / PSDB";"5";"SUPLENTE";"N";"24"
"28/05/2019";"15:29:46";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";"55";"11";"Prefeito";"20000001647";"45";"ROGERIO AUTO TEOFILO";"ROGERIO TEOFILO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"20000000120";"UNIDOS POR UMA NOVA ARAPIRACA";"PRB / PSC / DEM / PMB / PSB / PSDB / PSD";"1";"ELEITO";"N";"15456"
"28/05/2019";"15:29:46";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";"55";"13";"Vereador";"20000003380";"15555";"MARCUS FABIANO MATOS BARBOZA";"FABIANO LEÃO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"20000000260";"ARAPIRACA, JUNTOS POR NOVAS CONQUISTAS I";"PMDB / PDT / PRTB / PPS / PSL / PHS";"2";"ELEITO POR QP";"N";"750"
"28/05/2019";"15:29:46";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";"22";"13";"Vereador";"20000003377";"15777";"GILVÂNIA GOMES DE BARROS PEREIRA";"GILVÂNIA BARROS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"20000000260";"ARAPIRACA, JUNTOS POR NOVAS CONQUISTAS I";"PMDB / PDT / PRTB / PPS / PSL / PHS";"2";"ELEITO POR QP";"N";"2078"
"28/05/2019";"15:29:46";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";"22";"13";"Vereador";"20000005743";"65555";"FABIO HENRIQUE DE LIMA BEZERRA";"FABIO HENRIQUE";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"20000000449";"ARAPIRACA, JUNTOS POR NOVAS CONQUISTAS II";"PRP / PT / PC do B";"2";"ELEITO POR QP";"N";"1918"
"28/05/2019";"15:29:46";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";"22";"13";"Vereador";"20000008488";"90330";"PATRICIA PEREIRA DE LIMA";"PATRICIA LIMA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"90";"PROS";"Partido Republicano da Ordem Social";"20000000671";"A MUDANÇA QUE O POVO QUER II";"PTN / PSDC / PEN / PROS";"4";"NÃO ELEITO";"N";"28"
"28/05/2019";"15:29:46";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";"22";"13";"Vereador";"20000007549";"90456";"ROSEANE DA SILVA SANTOS";"ROSEANE DA SILVA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"90";"PROS";"Partido Republicano da Ordem Social";"20000000671";"A MUDANÇA QUE O POVO QUER II";"PTN / PSDC / PEN / PROS";"4";"NÃO ELEITO";"N";"1"
"28/05/2019";"15:29:46";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";"22";"13";"Vereador";"20000007662";"51444";"GIGUIMAR PEREIRA DE SOUZA";"PROF. GIGUIMAR";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"51";"PEN";"Partido Ecológico Nacional";"20000000671";"A MUDANÇA QUE O POVO QUER II";"PTN / PSDC / PEN / PROS";"4";"NÃO ELEITO";"N";"36"
