"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06033";"CALÇOENE";"06033";"CALÇOENE";"3";"13";"Vereador";"30000002296";"18026";"VALDICLEIA FAVACHO ALEIXO";"PROFESSORA VAL ALEIXO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"18";"REDE";"Rede Sustentabilidade";"30000000224";"CONSTRUINDO UMA NOVA HISTÓRIA";"REDE / DEM / PPL";"5";"SUPLENTE";"N";"24"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06033";"CALÇOENE";"06033";"CALÇOENE";"3";"13";"Vereador";"30000001534";"40156";"FRANCISCO GOMES CORREA";"COELHO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"30000000168";"FRENTE POPULAR A FAVOR DE CALÇOENE";"PSB / PMDB / PTB";"5";"SUPLENTE";"N";"78"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06033";"CALÇOENE";"06033";"CALÇOENE";"3";"13";"Vereador";"30000002802";"15266";"EDNA SHIRLEY DA SILVA TEIXEIRA";"EDNA DA AGRICULTURA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"30000000168";"FRENTE POPULAR A FAVOR DE CALÇOENE";"PSB / PMDB / PTB";"5";"SUPLENTE";"N";"61"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06068";"CUTIAS";"06068";"CUTIAS";"10";"11";"Prefeito";"30000002373";"22";"ELIANE DO NASCIMENTO SANTOS";"PRF. ELIANE PIMENTEL";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"22";"PR";"Partido da República";"30000000231";"FÉ, FORÇA E CORAGEM";"PR / SD / PT do B / PMN / PSC / PHS / PMB";"4";"NÃO ELEITO";"N";"155"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06068";"CUTIAS";"06068";"CUTIAS";"10";"13";"Vereador";"30000000892";"54000";"PAULO GUILHERME CARVALHO DE MACEDO";"DR. PAULO DENTISTA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"54";"PPL";"Partido Pátria Livre";"30000000106";"AGORA É A VEZ DO POVO";"PROS / PEN / PPL / DEM / PRP / PV / PTB / PSDB";"5";"SUPLENTE";"N";"63"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06068";"CUTIAS";"06068";"CUTIAS";"10";"13";"Vereador";"30000000904";"44123";"CANTARELI BRITO MIRA";"CANTARELI";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"44";"PRP";"Partido Republicano Progressista";"30000000106";"AGORA É A VEZ DO POVO";"PROS / PEN / PPL / DEM / PRP / PV / PTB / PSDB";"5";"SUPLENTE";"N";"106"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06068";"CUTIAS";"06068";"CUTIAS";"10";"13";"Vereador";"30000001228";"12444";"HEIDA DOS REIS PANTOJA";"HEIDA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"30000000143";"CUTIAS FORTE";"PDT / PTN / PMDB / PSD";"5";"SUPLENTE";"N";"17"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06068";"CUTIAS";"06068";"CUTIAS";"10";"13";"Vereador";"30000002379";"22456";"HENRY DE LIMA AMANAJAS";"HENRY";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"22";"PR";"Partido da República";"30000000232";"A FORÇA DO NOSSO POVO";"PR / SD / PMB / PT do B / PMN / PSC / PHS";"5";"SUPLENTE";"N";"84"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06114";"FERREIRA GOMES";"06114";"FERREIRA GOMES";"9";"13";"Vereador";"30000001656";"40789";"MARIA TEREZINHA DA SILVA";"MARIA TEREZINHA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"30000000177";"MUDAR É PRECISO";"PSB / PSOL";"4";"NÃO ELEITO";"N";"8"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06114";"FERREIRA GOMES";"06114";"FERREIRA GOMES";"9";"13";"Vereador";"30000001095";"27777";"ERISON JOSÉ SOUZA PIRES";"ERISON PIRES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"27";"PSDC";"Partido Social Democrata Cristão";"30000000123";"PARTIDO ISOLADO";"PSDC";"4";"NÃO ELEITO";"N";"0"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06114";"FERREIRA GOMES";"06114";"FERREIRA GOMES";"9";"13";"Vereador";"30000001100";"27222";"KEZIA BARBOSA DE SOUZA";"KEZIA SOUZA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"27";"PSDC";"Partido Social Democrata Cristão";"30000000123";"PARTIDO ISOLADO";"PSDC";"4";"NÃO ELEITO";"N";"30"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06114";"FERREIRA GOMES";"06114";"FERREIRA GOMES";"9";"13";"Vereador";"30000000714";"15123";"JOSE NILSON PINHEIRO BORGES";"NILSON PINHEIRO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"30000000062";"ALIANÇA POR FERREIRA GOMES";"PMDB / PDT / PP / PRB / PRP / PSD";"5";"SUPLENTE";"N";"123"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06114";"FERREIRA GOMES";"06114";"FERREIRA GOMES";"9";"13";"Vereador";"30000001128";"51789";"REGINALDO FERREIRA LIMA";"REGICO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"51";"PEN";"Partido Ecológico Nacional";"30000000125";"FERREIRA GOMES COMPROMISSO E RENOVAÇÃO";"PEN / PTB / PMN";"5";"SUPLENTE";"N";"61"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06114";"FERREIRA GOMES";"06114";"FERREIRA GOMES";"9";"11";"Prefeito";"30000001650";"50";"MORONI PASCALE BEMUYAL GUIMARÃES";"PROF. MORONI";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"50";"PSOL";"Partido Socialismo e Liberdade";"30000000177";"MUDAR É PRECISO";"PSB / PSOL";"4";"NÃO ELEITO";"N";"242"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06114";"FERREIRA GOMES";"06114";"FERREIRA GOMES";"9";"13";"Vereador";"30000000878";"25123";"RAIMUNDO MESQUITA FERREIRA DOS SANTOS";"GOIABA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"25";"DEM";"Democratas";"30000000105";"UNIDOS PRA RECONSTRUIR E PROSPERAR";"PR / DEM / PSDB / REDE / PMB";"5";"SUPLENTE";"N";"53"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06114";"FERREIRA GOMES";"06114";"FERREIRA GOMES";"9";"13";"Vereador";"30000001427";"23246";"ELIEBER DOS REIS SOUZA";"ELIEBER REIS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"23";"PPS";"Partido Popular Socialista";"30000000154";"UNIDOS PARA DESENVOLVER";"PV / PPS";"5";"SUPLENTE";"N";"45"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06041";"ITAUBAL";"06041";"ITAUBAL";"10";"13";"Vereador";"30000001207";"12123";"WALTERLISON DA SILVA COSTA";"TECO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"30000000141";"RUMO AO DESENVOLVIMENTO";"PDT / REDE / PSD";"3";"ELEITO POR MÉDIA";"N";"276"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06041";"ITAUBAL";"06041";"ITAUBAL";"10";"13";"Vereador";"30000002526";"44777";"LAIDES LIMA DOS SANTOS";"PRF. LAIDES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"44";"PRP";"Partido Republicano Progressista";"30000000242";"ITAUBAL QUE A GENTE QUER";"PMB / PSDB / PP / PRP / PRB / PT do B";"5";"SUPLENTE";"N";"3"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06041";"ITAUBAL";"06041";"ITAUBAL";"10";"13";"Vereador";"30000002503";"15123";"JAIME JESUS SANTANA";"JAIME SANTANA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"30000000241";"ITAUBAL MELHOR PARA TODOS";"PMDB / PR / DEM / PV / PT / PSL";"5";"SUPLENTE";"N";"54"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06041";"ITAUBAL";"06041";"ITAUBAL";"10";"13";"Vereador";"30000000872";"77234";"ALEXSANDRO PICANÇO PESSOA";"BOLO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"77";"SD";"Solidariedade";"30000000104";"FORÇA, TRABALHO E COMPROMISSO";"PTB / PSC / PPS / SD";"5";"SUPLENTE";"N";"129"
"28/05/2019";"15:30:02";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"AP";"06041";"ITAUBAL";"06041";"ITAUBAL";"10";"13";"Vereador";"30000000875";"20300";"ADIELSON VIEGAS DA SILVA";"ADIELSON VIEGAS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"20";"PSC";"Partido Social Cristão";"30000000104";"FORÇA, TRABALHO E COMPROMISSO";"PTB / PSC / PPS / SD";"5";"SUPLENTE";"N";"3"
