"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";"17";"13";"Vereador";"220000005629";"77777";"VALVIQUE FERREIRA DOS SANTOS";"VALVIQUE";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"77";"SD";"Solidariedade";"220000000441";"PMDB, PDT, SD";"PMDB / PDT / SD";"2";"ELEITO POR QP";"N";"709"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";"17";"13";"Vereador";"220000005838";"15999";"ALESSANDRA VIEIRA DE SOUZA";"ALESSANDRA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"220000000441";"PMDB, PDT, SD";"PMDB / PDT / SD";"5";"SUPLENTE";"N";"6"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";"17";"13";"Vereador";"220000005847";"40165";"VANDERLENE DUBBERSTEIN PLANTAKOW";"LENE DUBBERSTEIN";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"220000000438";"TRABALHO E COMPROMISSO";"PP / DEM / PSDB / PTB / PSB / PR";"5";"SUPLENTE";"N";"2"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00310";"ALTA FLORESTA D OESTE";"00310";"ALTA FLORESTA D OESTE";"17";"13";"Vereador";"220000005608";"25125";"CARLOS ALBERTO DO COUTO";"CARLÃO DA BÚFALO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"25";"DEM";"Democratas";"220000000438";"TRABALHO E COMPROMISSO";"PP / DEM / PSDB / PTB / PSB / PR";"5";"SUPLENTE";"N";"182"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00736";"ALTO ALEGRE DOS PARECIS";"00736";"ALTO ALEGRE DOS PARECIS";"19";"13";"Vereador";"220000000909";"27777";"ISMAEL DA SILVA BILATI";"ISMAEL";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"27";"PSDC";"Partido Social Democrata Cristão";"220000000077";"`` RUMO NOVO COM A FORÇA DO POVO  ``";"PSDC / PT / PMN";"2";"ELEITO POR QP";"N";"358"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00736";"ALTO ALEGRE DOS PARECIS";"00736";"ALTO ALEGRE DOS PARECIS";"19";"13";"Vereador";"220000000921";"33333";"JOSE ANTONIO CARNEIRO LINS";"DEDÉ";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"33";"PMN";"Partido da Mobilização Nacional";"220000000077";"`` RUMO NOVO COM A FORÇA DO POVO  ``";"PSDC / PT / PMN";"5";"SUPLENTE";"N";"212"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00736";"ALTO ALEGRE DOS PARECIS";"00736";"ALTO ALEGRE DOS PARECIS";"19";"13";"Vereador";"220000000926";"33555";"IRANI DE SOUZA TOSTES";"IRANI DE SOUZA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"33";"PMN";"Partido da Mobilização Nacional";"220000000077";"`` RUMO NOVO COM A FORÇA DO POVO  ``";"PSDC / PT / PMN";"5";"SUPLENTE";"N";"8"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00736";"ALTO ALEGRE DOS PARECIS";"00736";"ALTO ALEGRE DOS PARECIS";"19";"13";"Vereador";"220000002116";"40789";"MARIA GORETH MARGONARI";"GORETH";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"220000000178";"UNIDOS POR ALTO ALEGRE";"PP / PSB";"5";"SUPLENTE";"N";"60"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00639";"ALTO PARAÍSO";"00639";"ALTO PARAÍSO";"26";"13";"Vereador";"220000001252";"25123";"JUCELINO DAMER";"JUCELINO DAMER";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"25";"DEM";"Democratas";"220000000101";"JUNTOS POR UM ALTO PARAÍSO MELHOR I";"PP / DEM";"5";"SUPLENTE";"N";"75"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00639";"ALTO PARAÍSO";"00639";"ALTO PARAÍSO";"26";"13";"Vereador";"220000001697";"14777";"LUCIMAR ALVES";"LUCIA DA 100";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"14";"PTB";"Partido Trabalhista Brasileiro";"220000000136";"A FORÇA DO POVO";"PDT / PT / PTB";"5";"SUPLENTE";"N";"56"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00639";"ALTO PARAÍSO";"00639";"ALTO PARAÍSO";"26";"13";"Vereador";"220000001698";"14000";"VALMIR SILVA DOS SANTOS";"VALMIR DO ALTO ALEGRE";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"14";"PTB";"Partido Trabalhista Brasileiro";"220000000136";"A FORÇA DO POVO";"PDT / PT / PTB";"5";"SUPLENTE";"N";"136"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00639";"ALTO PARAÍSO";"00639";"ALTO PARAÍSO";"26";"13";"Vereador";"220000001694";"14014";"LAISA SANTOS DE CAMPOS";"LAISA CAMPOS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"14";"PTB";"Partido Trabalhista Brasileiro";"220000000136";"A FORÇA DO POVO";"PDT / PT / PTB";"5";"SUPLENTE";"N";"42"
"28/05/2019";"15:31:58";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RO";"00639";"ALTO PARAÍSO";"00639";"ALTO PARAÍSO";"26";"13";"Vereador";"220000002158";"45123";"MAURINA EXPEDITA BEZERRA";"PROFESSORA MAURINA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"220000000180";"JUNTOS POR UM ALTO PARAÍSO MELHOR II";"PSL / PSDB / PTN / PSD";"5";"SUPLENTE";"N";"138"
