"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31011";"AMPARO DE SÃO FRANCISCO";"31011";"AMPARO DE SÃO FRANCISCO";"25";"13";"Vereador";"260000000417";"11111";"JOSE AUGUSTO RAMOS DE CASTRO";"ZÉ AUGUSTO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"260000000023";"O FUTURO SE CONSTRÓI COM ATITUDE 1";"PR / PTB / PSD / PP / PHS / PTC / PC do B / PEN / PT / PTN";"2";"ELEITO POR QP";"N";"243"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31038";"AQUIDABÃ";"31038";"AQUIDABÃ";"3";"13";"Vereador";"260000003759";"13600";"JUSCELIO JERSEY DE BARROS CARVALHO";"JUSCELIO IRMÃO DE DR. JOÃO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"13";"PT";"Partido dos Trabalhadores";"260000000251";"RUMO NOVO COM A FORÇA DO POVO";"PT / PEN / PSD / PROS";"5";"SUPLENTE";"N";"437"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31038";"AQUIDABÃ";"31038";"AQUIDABÃ";"3";"13";"Vereador";"260000003842";"40640";"EDILENE DE OLIVEIRA";"EDILENE DA CAPOEIRA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"260000000255";"AVANÇA AQUIDABÃ";"PSC / PTC / PSB / PSDB";"5";"SUPLENTE";"N";"0"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"27";"13";"Vereador";"260000006350";"33660";"DEYSE KELLY COUTINHO CAMPOS";"DEYSE COUTINHO";"#NULO#";"3";"INAPTO";"6";"RENÚNCIA";"Partido isolado";"33";"PMN";"Partido da Mobilização Nacional";"260000000427";"PARTIDO ISOLADO";"PMN";"4";"NÃO ELEITO";"N";"0"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"27";"13";"Vereador";"260000002282";"25789";"JUVENCIO  JOSE PASSOS DE OLIVEIRA";"JUVENCIO OLIVEIRA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"25";"DEM";"Democratas";"260000000154";"ARACAJU NÃO VAI PARAR";"PSDB / PEN / DEM";"2";"ELEITO POR QP";"N";"1770"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"27";"13";"Vereador";"260000003562";"12345";"JASON GOIS DA SILVA NETO";"JASON NETO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"260000000233";"POR UMA NOVA ARACAJU";"PDT / PP / PPL / PSDC";"2";"ELEITO POR QP";"N";"791"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"36";"13";"Vereador";"260000003284";"31600";"MARCOS ANTONIO SOARES DE SOUZA";"SEU MARCOS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"31";"PHS";"Partido Humanista da Solidariedade";"260000000215";"ARACAJU MAIS HUMANA E MAIS VERDE";"PV / PHS";"2";"ELEITO POR QP";"N";"197"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"36";"13";"Vereador";"260000003583";"40852";"LUCAS ARIBÉ ALVES";"LUCAS ARIBÉ";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"260000000234";"ARACAJU NO RUMO CERTO";"PSB / PRTB / PMB / PTC";"2";"ELEITO POR QP";"N";"2497"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"2";"13";"Vereador";"260000004611";"55555";"JOSENITO VITALE DE JESUS";"NITINHO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"55";"PSD";"Partido Social Democrático";"260000000305";"ARACAJU VAI SER FELIZ DE NOVO";"PT / PC do B / PSD";"2";"ELEITO POR QP";"N";"573"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"36";"13";"Vereador";"260000003501";"90123";"MORITOS DA SILVA MATOS";"MATOS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"90";"PROS";"Partido Republicano da Ordem Social";"260000000231";"MUDA ARACAJU";"SD / PR / PROS";"4";"NÃO ELEITO";"N";"249"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"27";"13";"Vereador";"260000003503";"77777";"ROBERTO MORAIS OLIVEIRA FILHO";"PASTOR ROBERTO MORAIS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"77";"SD";"Solidariedade";"260000000231";"MUDA ARACAJU";"SD / PR / PROS";"4";"NÃO ELEITO";"N";"892"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"27";"13";"Vereador";"260000006676";"77999";"JOSE BENJAMIM DE JESUS";"BENJAMIM MOTOTAXI";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"77";"SD";"Solidariedade";"260000000231";"MUDA ARACAJU";"SD / PR / PROS";"4";"NÃO ELEITO";"N";"22"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"27";"13";"Vereador";"260000003507";"77007";"DANIELLE ARAUJO OLIVEIRA";"DANIELLE";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"77";"SD";"Solidariedade";"260000000231";"MUDA ARACAJU";"SD / PR / PROS";"4";"NÃO ELEITO";"N";"8"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"27";"13";"Vereador";"260000005354";"19456";"JOSÉ NOIA SILVA DOS SANTOS";"JOSÉ NOIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"19";"PTN";"Partido Trabalhista Nacional";"260000000357";"POR UMA ARACAJU FELIZ";"PT do B / PTN / PRP";"4";"NÃO ELEITO";"N";"17"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"1";"13";"Vereador";"260000005345";"19666";"GEANE KATIA DOS SANTOS FRANÇA";"GEANE";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"19";"PTN";"Partido Trabalhista Nacional";"260000000357";"POR UMA ARACAJU FELIZ";"PT do B / PTN / PRP";"4";"NÃO ELEITO";"N";"1"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"1";"13";"Vereador";"260000005363";"70456";"VALMIRA SOUZA SANTOS FEITOZA";"SENSEI VALMIRA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"70";"PT do B";"Partido Trabalhista do Brasil";"260000000357";"POR UMA ARACAJU FELIZ";"PT do B / PTN / PRP";"4";"NÃO ELEITO";"N";"31"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"1";"13";"Vereador";"260000005347";"19999";"GILDO DOS SANTOS BARBOSA";"SGT. GILDO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"19";"PTN";"Partido Trabalhista Nacional";"260000000357";"POR UMA ARACAJU FELIZ";"PT do B / PTN / PRP";"4";"NÃO ELEITO";"N";"365"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"27";"13";"Vereador";"260000005363";"70456";"VALMIRA SOUZA SANTOS FEITOZA";"SENSEI VALMIRA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"70";"PT do B";"Partido Trabalhista do Brasil";"260000000357";"POR UMA ARACAJU FELIZ";"PT do B / PTN / PRP";"4";"NÃO ELEITO";"N";"43"
"28/05/2019";"15:32:24";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"2";"13";"Vereador";"260000005359";"44777";"MAURICIO CATARINA DE GUSMÃO";"PROFESSOR GUSMÃO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"44";"PRP";"Partido Republicano Progressista";"260000000357";"POR UMA ARACAJU FELIZ";"PT do B / PTN / PRP";"4";"NÃO ELEITO";"N";"51"
