"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"28/05/2019";"15:32:41";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"TO";"92398";"ARAGUAÇU";"92398";"ARAGUAÇU";"30";"13";"Vereador";"270000001826";"11123";"OSMAY ARAUJO MARINHO";"OSMAY MARINHO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"270000000203";"AVANÇA ARAGUAÇU";"PSDB / PSC / SD / PP / DEM / PROS / PSB";"5";"SUPLENTE";"N";"91"
"28/05/2019";"15:32:41";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"TO";"92479";"ARRAIAS";"92479";"ARRAIAS";"22";"11";"Prefeito";"270000009205";"55";"ANTONIO WAGNER BARBOSA GENTIL";"WAGNER GENTIL";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"55";"PSD";"Partido Social Democrático";"270000000835";"PELA FORÇA DO POVO";"PSD / PDT / PTN / PT / PSDC";"1";"ELEITO";"N";"2969"
"28/05/2019";"15:32:41";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"TO";"92479";"ARRAIAS";"92479";"ARRAIAS";"22";"13";"Vereador";"270000008894";"19000";"NÚBIA APARECIDA RAMALHO DE MELO";"NÚBIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"19";"PTN";"Partido Trabalhista Nacional";"270000000814";"ARRAIAS PARA FRENTE";"PSD / PTN / PDT";"5";"SUPLENTE";"N";"1"
"28/05/2019";"15:32:41";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"TO";"92479";"ARRAIAS";"92479";"ARRAIAS";"22";"13";"Vereador";"270000008892";"12000";"ROSANGELA AQUINO DA SILVA";"ROSÂNGELA AQUINO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"270000000814";"ARRAIAS PARA FRENTE";"PSD / PTN / PDT";"5";"SUPLENTE";"N";"98"
"28/05/2019";"15:32:41";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"TO";"73580";"BANDEIRANTES DO TOCANTINS";"73580";"BANDEIRANTES DO TOCANTINS";"31";"13";"Vereador";"270000002609";"20456";"RONALDO OLIVEIRA DE ALMEIDA";"RONALDO DO AGENOR";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"20";"PSC";"Partido Social Cristão";"270000000270";"PRA FRENTE BANDEIRANTES";"PSC / PHS / PDT / PRP / PSDC / PSL";"5";"SUPLENTE";"N";"35"
"28/05/2019";"15:32:41";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"TO";"73580";"BANDEIRANTES DO TOCANTINS";"73580";"BANDEIRANTES DO TOCANTINS";"31";"13";"Vereador";"270000005104";"11222";"SORAIA MARIA ROCHA DE SOUZA";"SORAIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"270000000494";"BANDEIRANTES NÃO PODE PARAR 1";"PP / PSDB / SD / DEM / PSB";"5";"SUPLENTE";"N";"80"
"28/05/2019";"15:32:41";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"TO";"92045";"BURITI DO TOCANTINS";"92045";"BURITI DO TOCANTINS";"10";"13";"Vereador";"270000003396";"43333";"IRIS LOPES BORGES";"IRIS DO BORJÃO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"43";"PV";"Partido Verde";"270000000332";"UNIDOS POR UM BURITI MELHOR";"PROS / PT / PMDB / PV / DEM / PRB / PPS / PR / SD / PSDB";"2";"ELEITO POR QP";"N";"304"
"28/05/2019";"15:32:41";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"TO";"73210";"CENTENÁRIO";"73210";"CENTENÁRIO";"33";"13";"Vereador";"270000000853";"22545";"MARIA DO SOCORRO RODRIGUES PORTO MOREIRA";"SOCORRO PORTO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"22";"PR";"Partido da República";"270000000101";"UNIDOS POR CENTENARIO";"PSDB / PR / DEM / PP / PMN / PSB / PROS / PTB";"5";"SUPLENTE";"N";"2"
"28/05/2019";"15:32:41";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"TO";"92142";"COMBINADO";"92142";"COMBINADO";"22";"11";"Prefeito";"270000003502";"43";"LINDOLFO DO PRADO NETO";"DOFIM";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"43";"PV";"Partido Verde";"270000000339";"JUNTOS PELO PROGRESSO DE COMBINADO";"PV / PMDB / PP / PSC";"1";"ELEITO";"N";"1638"
"28/05/2019";"15:32:41";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"TO";"92142";"COMBINADO";"92142";"COMBINADO";"22";"13";"Vereador";"270000003069";"13444";"PAULO CESAR XAVIER DE OLIVEIRA";"PAULO DITIM";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"13";"PT";"Partido dos Trabalhadores";"270000000265";"INOVAÇÃO E ALIANÇA";"PSDB / PT / PROS / DEM / PR";"2";"ELEITO POR QP";"N";"126"
